vehicle_id,carrier,model_id,image,lore
446,PZ,MTMB20,,
447,PZ,MTMB20,,
448,PZ,MTMB20,,
449,PZ,MTMB20,,
450,PZ,MTMB20,,
451,PZ,MTMB20,,
452,PZ,MTMB20,,
453,PZ,MTMB20,,
454,PZ,MTMB20,,
455,PZ,MTMB20,,
456,PZ,MTMB20,,
457,PZ,MTMB20,,
458,PZ,MTMB20,,
459,PZ,MTMB20,,
460,PZ,MTMB20,,
500,PZ,MTMG01,,"This tram is the sole prototype unit labeled as LF01. Prior to the start of regular service in Poznań, it was presented and tested for several years in different cities."
501,PZ,SMCMCL,,
502,PZ,SMCMCL,,
503,PZ,SMCMCL,,
504,PZ,SMCMCL,,
505,PZ,SMCMCL,,
506,PZ,SMCMCL,,
507,PZ,SMCMCL,,
508,PZ,SMCMCL,,
509,PZ,SMCMCL,,
510,PZ,SMCMCL,,
511,PZ,SMCMCL,,
512,PZ,SMCMCL,,
513,PZ,SMCMCL,,
514,PZ,SMCMCL,,
515,PZ,SLT105,,
516,PZ,SLT105,,
517,PZ,SLT105,,
518,PZ,SLT105,,
519,PZ,SLT105,,
520,PZ,SLT105,,
521,PZ,SLT105,,
522,PZ,SLT105,,
523,PZ,SLT105,,
524,PZ,SLT105,,
525,PZ,SLT105,,
526,PZ,SLT105,,
527,PZ,SLT105,,
528,PZ,SLT105,,
529,PZ,SLT105,,
530,PZ,SLT105,,
531,PZ,SLT105,,
532,PZ,SLT105,,
533,PZ,SLT105,,
534,PZ,SLT105,,
535,PZ,SLT105,,
536,PZ,SLT105,,
537,PZ,SLT105,,
538,PZ,SLT105,,
539,PZ,SLT105,,
540,PZ,SLT105,,
541,PZ,SLT105,,
542,PZ,SLT105,,
543,PZ,SLT105,,
544,PZ,SLT105,,
545,PZ,SLT105,,
546,PZ,SLT105,,
547,PZ,SLT105,,
548,PZ,SLT105,,
549,PZ,SLT105,,
550,PZ,SLT105,,
551,PZ,SLT105,,
552,PZ,SLT105,,
553,PZ,SLT105,,
554,PZ,SLT105,,
555,PZ,SLT105,,
556,PZ,SLT105,,
557,PZ,SLT105,,
558,PZ,SLT105,,
559,PZ,SLT105,,
560,PZ,SLT105,,This tram was a prototype and wears a different red and white livery.
600,PZ,MTMG05,,This tram is the sole prototype unit labeled as LF05. Test drives with passengers are currently being conducted.
601,PZ,MTMG02,,
602,PZ,MTMG02,,
603,PZ,MTMG02,,
604,PZ,MTMG02,,
605,PZ,MTMG02,,
606,PZ,MTMG02,,
607,PZ,MTMG02,,
608,PZ,MTMG02,,
609,PZ,MTMG02,,
610,PZ,MTMG02,,
611,PZ,MTMG02,,
612,PZ,MTMG02,,
613,PZ,MTMG02,,
614,PZ,MTMG02,,
615,PZ,MTMG02,,
616,PZ,MTMG02,,
617,PZ,MTMG02,,
618,PZ,MTMG02,,
619,PZ,MTMG02,,
620,PZ,MTMG02,,
621,PZ,MTMG02,,
622,PZ,MTMG02,,
623,PZ,MTMG02,,
624,PZ,MTMG02,,
625,PZ,MTMG02,,
626,PZ,MTMG02,,
627,PZ,MTMG02,,
628,PZ,MTMG02,,
629,PZ,MTMG02,,
630,PZ,MTMG02,,
655,PZ,DUGT08,,
901,PZ,DUGT8Z,,
903,PZ,DUGT8Z,,
904,PZ,DUGT8Z,,
905,PZ,DUGT8Z,,
906,PZ,DUGT8Z,,
907,PZ,DUGT8Z,,
911,PZ,MTMB22,,
912,PZ,MTMB22,,
913,PZ,MTMB22,,
914,PZ,MTMB22,,
915,PZ,MTMB22,,
916,PZ,MTMB22,,
917,PZ,MTMB22,,
918,PZ,MTMB22,,
919,PZ,MTMB22,,
920,PZ,MTMB22,,
921,PZ,MTMG03,,
922,PZ,MTMG03,,
923,PZ,MTMG03,,
924,PZ,MTMG03,,
925,PZ,MTMG03,,
926,PZ,MTMG03,,
927,PZ,MTMG03,,
928,PZ,MTMG03,,
930,PZ,MTMG03,,
931,PZ,MTMG03,,
932,PZ,MTMG03,,
933,PZ,MTMG03,,
934,PZ,MTMG03,,
935,PZ,MTMG03,,
936,PZ,MTMG03,,
937,PZ,MTMG03,,
938,PZ,MTMG03,,
939,PZ,MTMG03,,
940,PZ,MTMG03,,
1006,PZ,SL412E,,
1265,PZ,SL318D,,
1270,PZ,SL318D,,
1310,PZ,MBC345,,
1313,PZ,MBC345,,
1315,PZ,MBC345,,
1318,PZ,MBC345,,
1460,PZ,SL312D,,
1470,PZ,SL312D,,
1474,PZ,SL312D,,
1613,PZ,SL418H,,
1617,PZ,SL418H,,
1631,PZ,SL312D,,
1656,PZ,SL312D,,
1658,PZ,SL312D,,
1663,PZ,SL312D,,
1668,PZ,SL412D,,
1673,PZ,SL412D,,
1676,PZ,SL412D,,
1770,PZ,SL386D,,
1773,PZ,SL386D,,
1861,PZ,SL318D,,
1874,PZ,SL318D,,
1880,PZ,SL318D,,
1886,PZ,SL318D,,
1913,PZ,SL418D,,
1919,PZ,SL418D,,
1935,PZ,SL418D,,
3012,KZ,SL312D,,
3015,KZ,MNNL28,,
3019,KZ,MNNG36,,
3022,KZ,SL412D,,
4049,SW,SL312H,,
4051,SW,SL312H,,
4202,SW,SL318D,,
4316,KL,SL412D,,
5008,KR,MBC530,,
