vehicle_id,license_plate,carrier,model_id,image,lore
212+211,,PZ,KN105K,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105nadk_38.jpg,
218+215,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/moderus_38.jpg,
220+219,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_374.jpg,
224+223,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/moderus_47.jpg,
226+225,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_337.jpg,
228+227,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_328.jpg,
234+233,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_338.jpg,
244+243,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/stop_223.jpg,
264+263,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_384.jpg,
272+273,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/moderus_352.jpg,
EX273,,PZ,WFTH,https://codziennypoznan.pl/wp-content/uploads/2024/04/IMG_5752-1170x650.jpg,"This wagon is standing on Półwiejska Street. For many years, it has housed in turn many service establishments from a wide variety of industries."
290+291,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/stop_27.jpg,
298+299,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_379.jpg,
310+311,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_349.jpg,
312+313,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_98.jpg,
314+315,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_383.jpg,"These two carraiges were originally bought in 1989 as 105NT units. They were withdrawn from service in 1997 due to high failure rate and lack of spare parts. As a result of general reconstruction carried out in 2000 and 2010, they were converted to 105Na carriages."
324+325,,PZ,KN105N,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/105na_387.jpg,
336+337,,PZ,MTMA07,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_309.jpg,
399,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_228.jpg,"However, this one was purchased and modernised in 2021."
400,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_237.jpg,"However, this one was purchased and modernised in 2021."
401,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_221.jpg,
402,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_234.jpg,
403,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_214.jpg,
404,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_184.jpg,
405,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_209.jpg,
406,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_210.jpg,
407,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_179.jpg,
408,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_178.jpg,
409,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_217.jpg,
410,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_208.jpg,
411,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_232.jpg,
412,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_202.jpg,
413,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_198.jpg,
414,,PZ,CKT606,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/tatra_236.jpg,
415,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_92.jpg,
416,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_144.jpg,
417,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_209.jpg,
418,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.poznan.cba.pl/grafika/zdjecia/beta_22.jpg,
419,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_211.jpg,
420,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_120.jpg,
421,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_142.jpg,
422,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_160.jpg,
423,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_180.jpg,
424,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_138.jpg,
425,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_231.jpg,
426,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_200.jpg,
427,,PZ,MTMB02,https://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http://www.kmpk.cba.pl/grafika/zdjecia/beta_145.jpg,
