stop_id,date_visited
POLW02,2024-07-30
POLW01,2024-07-30
AWF73,2024-07-30
AWF42,2024-08-02
PLWL42,2024-08-06
RYLA71,2024-08-06
GLHE72,2024-08-06
GLHE43,2024-08-06
GLHE44,2024-08-06
PLWL41,2024-08-07
NIEZ02,2024-08-07
KART02,2024-08-13
KART01,2024-08-13
KOSO02,2024-08-13
KOSO01,2024-08-13
BIAL01,2024-08-13
BIAL02,2024-08-13
PLBE71,2024-08-13
PLBE02,2024-08-13
PLBE72,2024-08-13
BONN41,2024-08-28
BONN42,2024-08-28
OSCH01,2024-08-29
OSCH02,2024-08-29
WOKI02,2024-08-29
WOKI01,2024-08-29
KURP01,2024-08-29
KURP02,2024-08-29
LECH42,2024-08-29
PLWI42,2024-08-29
# PLWI43,2024-08-29
SOLN01,2024-08-29
SOLN02,2024-08-29
OJAG03,2024-09-01
OCZ71,2024-09-01
OSLE41,2024-09-01
OSLE42,2024-09-01
OGDY12,2024-09-02
WIMO01,2024-09-03
WIMO02,2024-09-03
KIKO02,2024-09-03
PAWL01,2024-09-03
KIDW02,2024-09-03
NJEZ02,2024-09-03
NJEZ01,2024-09-03
KIDW01,2024-09-03
RRAT30,2024-09-04
KRNY01,2024-09-04
KRNY02,2024-09-04
WIER41,2024-09-05
SOEJ01,2024-09-06
SOEJ02,2024-09-06
RYLA72,2024-09-06
BAKA42,2024-09-12
BAKA02,2024-09-12
TEMA01,2024-09-12
TERM41,2024-09-12
TERM42,2024-09-12
MAGA02,2024-09-12
MAGA03,2024-09-12
MAGA41,2024-09-12
RSTA41,2024-09-26
RSTA42,2024-09-26
RSTA03,2024-09-26
MAGA01,2024-09-27
LOZO01,2024-09-28
LOZO02,2024-09-28
KALI01,2024-09-28
KALI02,2024-09-28
ROBO02,2024-09-29
ROBO01,2024-09-29
PAMI71,2024-09-29
KOSI71,2024-09-29
KOSI72,2024-09-29
SLAS02,2024-10-01
SZPI02,2024-10-08
SZPI01,2024-10-08
GOKA01,2024-10-08
GOKA02,2024-10-08
BUKO42,2024-10-08
BUKO41,2024-10-08
BUKO02,2024-10-08
ZERO01,2024-10-10
ALSO41,2024-10-13
GOLE01,2024-10-15
WIOS72,2024-10-16
