terminal_id,closest_arrival,closest_departure
BLAZ,MT44,BALT42
POLA,MT44,BALT42
SOB,MT44,BALT42
# PIAT,MT44,BALT42
OGDY,MODW72,RJEZ72
BUDZ,BALT71,BALT42
JUNI,BALT71,BALT42
GORC,PAWI71,MODW72
DEEC,POLW41,POLW42
STAR,KORN41,WIOS72
UNLU,KORN41,WIOS72
FRWO,SZWE41,SZWE42
MILO,KORN44,KATE41
ZAWA,KORN44,KATE41
